Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
47,Operations 3,146.58,-,,Tone,186.2,186.2,023,NN,FM,5,,"Kent County, Michigan"
48,WB9AET,146.67,-,,Tone,107.2,107.2,023,NN,FM,5,,"Cook County, Illinois"
49,CFMC,146.76,-,,Tone,107.2,107.2,023,NN,FM,5,,"Cook County, Illinois"
50,SARA,146.88,-,,Tone,107.2,107.2,023,NN,FM,5,,"Cook County, Illinois"
51,KD8REH,146.96,-,,Tone,114.8,114.8,023,NN,FM,5,,"Grand Traverse County, Michigan"
52,W9AP,147.09,+,0.600,Tone,107.2,107.2,023,NN,FM,5,,"Cook County, Illinois"
53,KB9KRA,147.105,+,0.600,Tone,131.8,131.8,023,NN,FM,5,,"Cook County, Illinois"
54,W9SRO,147.15,+,0.600,Tone,107.2,107.2,023,NN,FM,5,,"Cook County, Illinois"
55,W8DC,147.26,+,0.600,Tone,94.8,94.8,023,NN,FM,5,,"Kent County, Michigan"
56,CWA Wide Alternate,147.26,+,0.600,Tone,94.8,94.8,023,NN,FM,5,,"Kent County, Michigan"
57,W9FO,147.315,+,0.600,Tone,107.2,107.2,023,NN,FM,5,,"Cook County, Illinois"
58,NS9RC,147.345,+,0.600,Tone,107.2,107.2,023,NN,FM,5,,"Cook County, Illinois"
59,American Red Cross Chicago Area Ham Operations,147.42,+,0.600,Tone,146.2,146.2,023,NN,FM,5,,"Cook County, Illinois"
60,Operations 1,147.48,+,0.600,Tone,186.2,186.2,023,NN,FM,5,,"Kent County, Michigan"
61,Ops 3 - Repeater,147.5,+,0.600,Tone,167.9,167.9,023,NN,FM,5,,"Kent County, Michigan"
62,Operations 2,147.52,+,0.600,Tone,186.2,186.2,023,NN,FM,5,,"Kent County, Michigan"
